simulation_name,parameter_name,parameter_value,ns,r
Chaotic (p-scan),power,1.4285714285714286,0.9715976329927921,0.09467455669069293
Chaotic (p-scan),power,1.489795918367347,0.9710977772056758,0.09870700650225332
Chaotic (p-scan),power,1.5510204081632653,0.9705981741730105,0.10273741438396286
Chaotic (p-scan),power,1.6122448979591837,0.9700988258118076,0.10676577450247221
Chaotic (p-scan),power,1.6734693877551021,0.969599731010456,0.11079209142856
Chaotic (p-scan),power,1.7346938775510203,0.9691008871843554,0.11481637548982689
Chaotic (p-scan),power,1.7959183673469388,0.968602296085684,0.11883862126708841
Chaotic (p-scan),power,1.8571428571428572,0.9681039564012253,0.12285883460268779
Chaotic (p-scan),power,1.9183673469387754,0.96760587240872s44,0.12687699973249622
Chaotic (p-scan),power,1.9795918367346939,0.9671080371207581,0.1308931445861114
Chaotic (p-scan),power,2.0408163265306123,0.9666104557958877,0.13490724930954465
Chaotic (p-scan),power,2.1020408163265305,0.9661131252341898,0.13891932739814716
Chaotic (p-scan),power,2.163265306122449,0.9656160456281244,0.14292937895760024
Chaotic (p-scan),power,2.2244897959183674,0.9651192179460655,0.14693740072961795
Chaotic (p-scan),power,2.2857142857142856,0.9646226408483761,0.15094339904692855
Chaotic (p-scan),power,2.3469387755102042,0.9641263166738099,0.15494736460138497
Chaotic (p-scan),power,2.4081632653061225,0.9636302420866915,0.15894931236186713
Chaotic (p-scan),power,2.4693877551020407,0.9631344153505726,0.16294925087052814
Chaotic (p-scan),power,2.5306122448979593,0.9626388417178833,0.1669471577290983
Chaotic (p-scan),power,2.5918367346938775,0.9621435177583763,0.1709430486999542
Chaotic (p-scan),power,2.6530612244897958,0.96164844310857,0.1749369261714351
Chaotic (p-scan),power,2.7142857142857144,0.9611536198119439,0.17892878147225852
Chaotic (p-scan),power,2.7755102040816326,0.960659044758651,0.18291862949823764
Chaotic (p-scan),power,2.836734693877551,0.9601647197504126,0.1869064626056593
Chaotic (p-scan),power,2.8979591836734695,0.9596706442087113,0.19089228407876657
Chaotic (p-scan),power,2.9591836734693877,0.9591768172820274,0.19487609857139174
Chaotic (p-scan),power,3.020408163265306,0.9586832392354463,0.19885790546842083
Chaotic (p-scan),power,3.0816326530612246,0.958189908281683,0.2028377140390639
Chaotic (p-scan),power,3.142857142857143,0.9576968276622082,0.20681550920698166
Chaotic (p-scan),power,3.204081632653061,0.9572039946239089,0.21079130491125642
Chaotic (p-scan),power,3.2653061224489797,0.9567114095441138,0.21476509993617945
Chaotic (p-scan),power,3.326530612244898,0.9562190714862228,0.21873689954776054
Chaotic (p-scan),power,3.3877551020408165,0.9557269828578581,0.22270669229077422
Chaotic (p-scan),power,3.4489795918367347,0.9552351417571163,0.22667448818119382
Chaotic (p-scan),power,3.510204081632653,0.9547435468354986,0.2306402946457554
Chaotic (p-scan),power,3.5714285714285716,0.9542521988528426,0.23460410844696067
Chaotic (p-scan),power,3.63265306122449,0.9537610992586868,0.23856592266532622
Chaotic (p-scan),power,3.693877551020408,0.9532702458082196,0.24252574935375662
Chaotic (p-scan),power,3.7551020408163267,0.9527796384720683,0.24648358925218267
Chaotic (p-scan),power,3.816326530612245,0.9522892775050313,0.2504394415876248
Chaotic (p-scan),power,3.877551020408163,0.9517991649177653,0.2543932962673499
Chaotic (p-scan),power,3.938775510204082,0.9513092940014419,0.25834518921571753
Chaotic (p-scan),power,4,0.9508196718596477,0.2622950834152123
Chaotic (m-scan),v0,0.001,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.0030204081632653063,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.0050408163265306125,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.00706122448979592,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.009081632653061226,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.011102040816326531,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.01312244897959184,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.015142857142857145,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.01716326530612245,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.019183673469387756,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.02120408163265306,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.023224489795918367,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.02524489795918368,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.027265306122448985,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.02928571428571429,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.031306122448979595,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.0333265306122449,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.035346938775510206,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.03736734693877551,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.03938775510204082,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.04140816326530612,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.043428571428571434,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.04544897959183673,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.047469387755102045,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.04948979591836736,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.051510204081632656,0.9669421483875055,0.13223140644997836
