simulation_name,parameter_name,parameter_value,ns,r
Chaotic (m-scan),v0,0.07373469387755102,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.07575510204081633,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.07777551020408163,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.07979591836734694,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.08181632653061224,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.08383673469387755,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.08585714285714287,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.08787755102040817,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.08989795918367346,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.09191836734693878,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.09393877551020409,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.0959591836734694,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.09797959183673471,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.1,0.9669421483875055,0.13223140644997836
